,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score
Tuned XGBoost,0.983,0.964,0.9642,0.964,0.9639
Tuned LightGBM,0.9697,0.9639,0.9642,0.9639,0.9638
Tuned CatBoost,0.9734,0.9637,0.9639,0.9637,0.9636
Tuned Random Forest,0.9942,0.9622,0.9624,0.9622,0.9621
SVC,0.9577,0.9562,0.9564,0.9562,0.9562
Tuned Decision Tree,0.9587,0.9517,0.9521,0.9517,0.9516
Gradient Boosting,0.941,0.9406,0.9407,0.9406,0.9405
KNN,0.9535,0.9365,0.9372,0.9365,0.9362
AdaBoost,0.9205,0.92,0.9199,0.92,0.9199
Logistic Regression,0.8737,0.8694,0.8693,0.8694,0.8691
SVC With Linear Kernel,0.8732,0.869,0.8688,0.869,0.8686
Naive Bayes,0.8617,0.8587,0.8587,0.8587,0.8582
